PartNumber,PartName,Description
PF53361-2PWS,FLUID DISPENSER 2 GA,"Part Number: PF53361-2PWSDescription: FILLER, ENG & IDG OIL 2 GALLON"
315A2800-1,ACTUATOR,"Part Number: 315A2800-1Description: ACTUATOR - THRUST REVERSER NON-LOCKING"
A21010-203,EQUIP TEST P.R.V,"Part Number: A21010-203Description: VACUUM TANK - PRESS RELIEF VALVE TESTER"
2056C0000-01,PLENUM,"Part Number: 2056C0000-01Description: CHAMBER-AIR PLENUM"
20505-001-01,HARNESS,"Part Number: 20505-001-01Description: HARNESS,MLG LH/RH"
1263A0000-03,AIR CYCLE MACHINE,"Part Number: 1263A0000-03Description: MACHINE-AIR CYCLE"
320-549-005-0,SENSOR,"Part Number: 320-549-005-0Description: SENSOR-N2 SPEED"
H321BDM1,GYROSCOPIC HORIZON,"Part Number: H321BDM1Description: INDICATOR STANDBY HORIZON"
161W1501-1,RACE,"Part Number: 161W1501-1Description: OUTER RACE ASSY"
522-2996-011,MARKER BEACON,"Part Number: 522-2996-011Description: RECEIVER-MARKER BEACON"
BACN10JR6F,NUT,"Part Number: BACN10JR6FDescription: NUTPLATE"
277A6110-3,HUBCAP,"Part Number: 277A6110-3Description: HUBCAP"
5A3307-9,SLIDE,"Part Number: 5A3307-9Description: ESCAPE SLIDE"
65C19789-7,TRANSMITTER,"Part Number: 65C19789-7Description: TRANSMITTER INSTL-AUTOLAND"
3218KGB01,SENSOR,"Part Number: 3218KGB01Description: SENSOR, N2 SPEED"
NSA931432A4BA0A,SWITCH,"Part Number: NSA931432A4BA0ADescription: SWITCH"
MF10-05-11,MASK-FULL,"Part Number: MF10-05-11Description: MASK-FULL FACE QUICK DONNING"
85780333-107,TRACK UPPER,"Part Number: 85780333-107Description: TRACK, UPPER"
20032-2,AC GENERATOR,"Part Number: 20032-2Description: AC GENERATOR"
397B030000,THERMOSTAT,"Part Number: 397B030000Description: THERMOSTAT SOLENOID"
3088477-1-1,BOLT SHOULDER,"Part Number: 3088477-1-1Description: BOLT SHOULDER"
103-003-2,HALL SENSOR,"Part Number: 103-003-2Description: HALL EFFECT SENSOR"
F70199-1,TIRE GAUGE,"Part Number: F70199-1Description: TYRE PRESSURE INFLATOR"
SIC5077-4,COMPUTER,"Part Number: SIC5077-4Description: COMPUTER FUEL QTYCMM"
3-1461-1,WHEEL MAIN,"Part Number: 3-1461-1Description: WHEEL ASSY MLG"
1145-0015,TRANSMITTER,"Part Number: 1145-0015Description: WATER QUANTITY TRANSMITTER"
295W1702-3,TRUNION,"Part Number: 295W1702-3Description: TRUNION"
67847-101,EVACUATION,"Part Number: 67847-101Description: FLAP DRIVE TRANSMISSION"
190-32435-004,RAIL,"Part Number: 190-32435-004Description: RAIL"
61620-468,SLIDE,"Part Number: 61620-468Description: EVACUATION SLIDE ASSEMBLY"
02-7813-0100,HYDRAULIC JACK,"Part Number: 02-7813-0100Description: JACK, MAIN GEAR, AXLE, 12 TONS"
6774G010000,VALVE PRESSURE,"Part Number: 6774G010000Description: VALVE-BLEED PRESSURE REGULATING"
4-416-1,TORQUE PLAT,"Part Number: 4-416-1Description: TORQUE PLATE ASSY"
03-5800-0010,STABILIZER,"Part Number: 03-5800-0010Description: SUPPORT, FUSELAGE"
0851CM-2,PITOT PROBE,"Part Number: 0851CM-2Description: PITOT TUBECOLD CLIMATE PITOT PRO"
473597-18,SMOKE DETECTOR,"Part Number: 473597-18Description: SMOKE DETECTOR (95%-97%) W/FAN"
473597-1,SMOKE DETECTOR,"Part Number: 473597-1Description: SMOKE DETECTOR (91%-97%) W/FAN"
473275-03,FLAME DETECTOR,"Part Number: 473275-03Description: FLAME DETECTOR (BEECH)"
473597-2,SMOKE DETECTOR,"Part Number: 473597-2Description: SMOKE DETECTOR, MODEL"
473227-01,FLAME DETECTOR,"Part Number: 473227-01Description: FLAME DETECTOR"
58311-006,CARTRIDGE,"Part Number: 58311-006Description: CARTRIDGE (KIDDE-GRAVINER)"
473597-31,M2K SMOKE DETECTOR,"Part Number: 473597-31Description: M2K SMOKE DETECTOR"
475571-29,DISCRETE CABIN SMOKE DETECTOR,"Part Number: 475571-29Description: DISCRETE CABIN SMOKE DETECTOR"
A805300-44,CARTRIDGE,"Part Number: A805300-44Description: CARTRIDGE, POWER DEVICE"
474358,SMOKE DET.,"Part Number: 474358Description: SMOKE DET.(95-97%) W/FAN ARJ21"
473597-4-07,SMOKE DETECTOR,"Part Number: 473597-4-07Description: SMOKE DETECTOR /DUAL/ (MOD-07)"
A805300-45,CARTRIDGE,"Part Number: A805300-45Description: CARTRIDGE"
446055,WIRE CONNECTOR,"Part Number: 446055Description: WIRE CONNECTOR, SOCKET RECEPTA"
473155,TESTER ASSY.4.3 FLAME DETECTOR,"Part Number: 473155Description: TESTER ASSY.4.3 FLAME DETECTOR"
473597-15,SMOKE DETECTOR,"Part Number: 473597-15Description: SMOKE DETECTOR (93%-96%)"
30-326T-1,CONTROL AMP ASSY 28 VDC,"Part Number: 30-326T-1Description: CONTROL AMP ASSY 28 VDC"
446164,DISCHARGE HEAD,"Part Number: 446164Description: DISCHARGE HEAD"
31712-302,CHARGE PLUG,"Part Number: 31712-302Description: CHARGE PLUG"
58331-001,INDICATOR,"Part Number: 58331-001Description: INDICATOR (KIDDE-GRAVINER)"
4950009,SPEED SENSOR,"Part Number: 4950009Description: SENSOR, ENGINE SPEED"
5909849,SENSOR,"Part Number: 5909849Description: SENSOR OIL LEVEL"
811149-1,ACTUATOR,"Part Number: 811149-1Description: ACTUATOR, ENGINE CONTROL"
822-0330-001,TRANSCEIVER,"Part Number: 822-0330-001Description: HF RECEIVER TRANSMITTER"
EVR750-03-0100A,TRANSCEIVER VHF,"Part Number: EVR750-03-0100ADescription: ENHANCED VHF TRANSCEIVER"
4951652,OIL COOLER,"Part Number: 4951652Description: OIL COOLER"
4101099H,COOLING FAN,"Part Number: 4101099HDescription: FAN ASSY-COOLING"
4100837G,BLEED CONTROL VALVE,"Part Number: 4100837GDescription: VALVE ASSY-BLEED CONTROL"
066-50008-0407,RADAR TRANSCEIVER,"Part Number: 066-50008-0407Description: TRANSCEIVER WEATHER RADAR"
43885001,OZONE CONVERTOR,"Part Number: 43885001Description: CONVERTER, CATALYIC OZONE"
802170-11,SHUTOFF VALVE,"Part Number: 802170-11Description: VALVE-HIGH PRESSURE SHUTOFF"
788399-6,AIR/OIL HEAT VALVE,"Part Number: 788399-6Description: VALVE - AIR/OIL HEAT EXCHANGER"
45-0351-2,LANDING LIGHT,"Part Number: 45-0351-2Description: RETRACTABLE LANDING LIGHT"
822-1338-205,ATC TRANSPONDER,"Part Number: 822-1338-205Description: ATC TRANSPONDER"
822-1287-101,TRANSCEIVER,"Part Number: 822-1287-101Description: VHF COMMUNICATIONS TRANSCEIVER"
822-1821-332,MULTI MODE RECEIVER,"Part Number: 822-1821-332Description: ILS/GPS MULTI-MODE RECEIVER"
8061-888,MAIN ENGINE CONTROL,"Part Number: 8061-888Description: MAIN ENGINE CONTROL"
GG436-4004-5,VALVE ISOLATION,"Part Number: GG436-4004-5Description: VALVE ASSY ISOLATIO"
GG436-2006-11,FLOW CONTROL VALVE,"Part Number: GG436-2006-11Description: FLOW CONTROL VALVE"
GP422-1102-1,VALVE ASSY,"Part Number: GP422-1102-1Description: VALVE, AFT TANK WATER"
GG435-3002-21,VALVE OUTFLOW,"Part Number: GG435-3002-21Description: OUTFLOW VALVE"
2960041-101,CHECK VALVE,"Part Number: 2960041-101Description: CHECK VALVE, REFUEL/DEFUEL"
GG436-2048-7,RAM AIR VALVE,"Part Number: GG436-2048-7Description: VALVE, RAM-AIR"
GG433-1005-7,FAN AIR VALVE,"Part Number: GG433-1005-7Description: VALVE, FAN AIR"
GG436-2036-3,TRIM AIR CHECK VALVE,"Part Number: GG436-2036-3Description: VALVE, CHECK, TRIM AIR"
P21018,OXYGEN CHECK VALVE,"Part Number: P21018Description: VALVE, CHECK, OXYGEN"
GP422-1405-3,VALVE ASSY,"Part Number: GP422-1405-3Description: VALVE ASSY, CHECK, FUEL SYSTEM"
GD467-1802-13,TUBE ASSY,"Part Number: GD467-1802-13Description: WATER INJECTION TUBE"
GD438-1405-5,TUBE ASSY,"Part Number: GD438-1405-5Description: TUBE ASSY, SENSE LINE"
GD478-1136-1,TUBE ASSY,"Part Number: GD478-1136-1Description: TUBE ASSY"
GD467-1803-13,TUBE ASSY,"Part Number: GD467-1803-13Description: TUBE ASSY, PDPS SENSING LINE (LH)"
GM588-8665-5,TUBE ASSY,"Part Number: GM588-8665-5Description: TUBE ASSY, FUEL DRAIN"
GD428-1007-33,TUBE ASSY,"Part Number: GD428-1007-33Description: TUBE ASSY, (RH)"
GM588-2651-1,TUBE ASSY,"Part Number: GM588-2651-1Description: TUBE ASSY FUEL"
GD428-1008-33,TUBE ASSY,"Part Number: GD428-1008-33Description: TUBE ASSY ENGINE FE"
GD428-1011-33,TUBE ASSY,"Part Number: GD428-1011-33Description: TUBE ASSY ENGINE FE"
GM588-8667-5,TUBE ASSY,"Part Number: GM588-8667-5Description: TUBE ASSY, FUEL"
GD428-1041-11,TUBE ASSY,"Part Number: GD428-1041-11Description: TUBE ASSY FUEL"
GD428-1039-13,TUBE ASSY,"Part Number: GD428-1039-13Description: TUBE ASSY, FUEL DUMP LINE, AUX TANK"
GD478-1104-9,TUBE ASSY,"Part Number: GD478-1104-9Description: TUBE ASSY, SUCTION NO.1"
453-5004,TRANSMITTER ELT,"Part Number: 453-5004Description: EMERGENCY LOCATOR TRANSMITTER"
15730-001,TOILET ASSY,"Part Number: 15730-001Description: TOILET ASSY, MAGAIR"
8400021-01,TELELINK,"Part Number: 8400021-01Description: UNIT, DATA LINK"
15730-180,SWITCH,"Part Number: 15730-180Description: SWITCH, ALTITUDE PRESSURE"
2335-214,SWITCH,"Part Number: 2335-214Description: SWITCH ASSY PRESSUR"
8-416-02,PROXIMITY SWITCH,"Part Number: 8-416-02Description: PROXIMITY SWITCH ELECTRONICS UNIT (SYSTEM)"
979806-12,CONTROL VALVE,"Part Number: 979806-12Description: APU SURGE CONT VALVE"
773856-19,CHECK VALVE,"Part Number: 773856-19Description: CHECK VALVE ASSY, INTERM PRESS"
3885081-1,MODULE,"Part Number: 3885081-1Description: MODULE, FLOW SENSOR"
30-1521-6,POSLIGHT,"Part Number: 30-1521-6Description: LIGHT- REAR POSITION"
3214304-4,VALVE,"Part Number: 3214304-4Description: HIGH STAGE MOD VALVE"
71179-2,PITCH MANIFOLD ASSY,"Part Number: 71179-2Description: MANIFOLD ASSY-HYDRAULIC FUSE UNIT,LW"
45040-1,STATOR AND ROTOR ASSY,"Part Number: 45040-1Description: ALTERNATOR STATOR"
2780539-107,ISOLATION VALVE,"Part Number: 2780539-107Description: 6-INCH BLEED AIR MANIFOLD ISOLATION VALV"
2130161-101,OZONE CONVERTER,"Part Number: 2130161-101Description: CONVERTER - OZONE"
744041B,INTEGRATED DRIVE GENERATO,"Part Number: 744041BDescription: INTEGRATED DRIVE GENERATOR"
2LA003968-00,LIGHT ANTICOLLISION,"Part Number: 2LA003968-00Description: LIGHT-ANTICOLLISION,BEACON"
342B040000,THERMOSTAT CONTROL,"Part Number: 342B040000Description: TEMPERATURE CONTROL THERMOSTAT"
65-73762-21,NLG ASSY,"Part Number: 65-73762-21Description: NOSE LANDING GEAR ASSY"
65C37849-34,TOPKITRE,"Part Number: 65C37849-34Description: TOP KIT - ICE & RAIN"
2041446-0401,ANTENNA-WEATHER RADAR,"Part Number: 2041446-0401Description: ANTENNA-WEATHER RADAR"
39-353,CONTROL VALVE,"Part Number: 39-353Description: VALVE CONTROL HYDRAULIC"
735511A,CONSTANT SPEED DRIVE,"Part Number: 735511ADescription: CSD - CONSTANT SPEED DRIVE"
AL-5118,POWER SUPPLY,"Part Number: AL-5118Description: DIMMABLE PROTECTED PW SUPPLY"
9DR408176-01,FLASH TUBE ASSY,"Part Number: 9DR408176-01Description: FLASH TUBE ASSY"
BRR15817,"STRUT, THRUST","Part Number: BRR15817Description: STRUT ASSY THRUST"
GM127-1562-1,SPACER,"Part Number: GM127-1562-1Description: SPACER"
GM168-1700-22,SPOILERON,"Part Number: GM168-1700-22Description: INBOARD RIGHT SPOILERON"
GM127-1562-3,SPACER,"Part Number: GM127-1562-3Description: SPACER"
DT-A4BA-12,SPEAKER,"Part Number: DT-A4BA-12Description: SPEAKER ASSY"
GM127-1852-1,SPACER,"Part Number: GM127-1852-1Description: SPACER"
GM134-1501-2,PANEL ASSY,"Part Number: GM134-1501-2Description: PANEL ASSY"
CF34-10E6,ENGINE,"Part Number: CF34-10E6Description: ENGINE"
017766-01,SENSOR ASSY WATER,"Part Number: 017766-01Description: SENSOR, WATER LEVEL"
GM124-1402-3,SKIN ASSY,"Part Number: GM124-1402-3Description: SKIN ASSY PANEL LH"
GE534-0001-1,"BOX, AUTO SHUT-OFF","Part Number: GE534-0001-1Description: AUTO SHUT-OFF BOX"
4015373-834,SERVO DRIVE,"Part Number: 4015373-834Description: SERVO DRIVE ASSEMBLY"
980-4700-027,"RECORDER, FLIGHT DATA","Part Number: 980-4700-027Description: RECORDER, SOLID STATE FLIGHT DATA, SSFDR"
L20340,PUMP ASSY,"Part Number: L20340Description: PUMP ASSY WATER"
GM127-1590-1,RAIL ASSY,"Part Number: GM127-1590-1Description: RAIL ASSY"
S263-19DG,SEMI PROFILE,"Part Number: S263-19DGDescription: SLEEVE, SEMI PROFILE"
LT-45D,POWER SUPPLY,"Part Number: LT-45DDescription: POWER SUPPLY,LAMP DRIVER"
GG431-2008-5,PLENUM,"Part Number: GG431-2008-5Description: PLENUM ASSY"
GM417-0115-11,PIN ASSY,"Part Number: GM417-0115-11Description: PIN ASSY SPOILER PC"
0856TT1,"TUBE, PITOT","Part Number: 0856TT1Description: PITOT STATIC TUBE"
GG438-2078-1,PIPE ASSY,"Part Number: GG438-2078-1Description: PIPE ASSY"
GM417-0115-3,PIN,"Part Number: GM417-0115-3Description: PIN SPOILER ACTUATO"
GG438-2077-3,PIPE ASSY,"Part Number: GG438-2077-3Description: PIPE ASSEMBLY"
GM175-1821-27,PANEL ASSY,"Part Number: GM175-1821-27Description: PANEL, ACCESS (LH)"
GC722-0005-14,TRIM,"Part Number: GC722-0005-14Description: TRIM, SIDE INSTRUMENT (RH)"
GC542-0048-23,BLANK PANEL ASSY,"Part Number: GC542-0048-23Description: PANEL ASSY, BLANK"
GC515-0006-1,PANEL ASSY,"Part Number: GC515-0006-1Description: PANEL ASSY"
AL-2502,DIMMING INTERFACE,"Part Number: AL-2502Description: DIMMING INTERFACE"
7510100-631,NAVIGATION UNIT,"Part Number: 7510100-631Description: ASSEMBLY, NAV UNIT"
622-8124-001,MOUNT ASSY,"Part Number: 622-8124-001Description: MOUNT, DUAL COUPLER SHOCK ISO LOW"
3701B1-1,MONITOR ASSY,"Part Number: 3701B1-1Description: MONITOR ASSY HEATER"
MF10-08-01,OXYGEN MASK,"Part Number: MF10-08-01Description: OXYGEN MASK, CREW"
990-6813-001,"MODULE, CONTROLLER","Part Number: 990-6813-001Description: MODULE, CONTROLLER"
980-6117-001,MICROPHONE,"Part Number: 980-6117-001Description: MICROPHONE MONITOR SYSTEM"
770011,WATER FILTER,"Part Number: 770011Description: WATER MICROFILTRATION UNIT"
8ES005045-00,POWER SUPPLY UNIT ANTICOL,"Part Number: 8ES005045-00Description: PSU-POWER SUPPLY UNIT,BEACON"
746011L,CONTROL UNIT GENERATOR,"Part Number: 746011LDescription: CONTROL UNIT GENERATOR"
321-400-603-0,SWITCH,"Part Number: 321-400-603-0Description: SWITCH, PIVOT DEPLOY"
60-4983-3,POWER SUPPLY,"Part Number: 60-4983-3Description: POWER SUPPLY, STROBE LIGHT"
TL10101-104,LATCH,"Part Number: TL10101-104Description: LATCH"
1151968-1,CONTACTOR,"Part Number: 1151968-1Description: CONTACTOR, 290 AMP LATCHING"
2061-15-1,POSITION INDICATOR,"Part Number: 2061-15-1Description: FLAP POSITION INDICATOR"
AE0607F00,FAN,"Part Number: AE0607F00Description: FAN ARINC"
822-1338-003,ATC TRANSPONDER,"Part Number: 822-1338-003Description: TRANSPONDER ATC/MODE S"
797147-10-002,CONTROL ASSY,"Part Number: 797147-10-002Description: UNIT, AIR SUPPLY CONTROL"
10037-0750,INDICATOR,"Part Number: 10037-0750Description: INDICATOR - FUEL QUANTITY"
5145-1-64,PANEL ASSY,"Part Number: 5145-1-64Description: PANEL ASSY, AUDIO CONTROL"
9000408-21,TRANSMITTER,"Part Number: 9000408-21Description: TRANSMITTER,FLAP POS"
1153222-2,PRESSURE SENSOR,"Part Number: 1153222-2Description: SENSOR - PRESSURE, BLEED"
RD-AX7360-02,AUDIO REPRODUCER,"Part Number: RD-AX7360-02Description: PRERECORDED ANOUNCEMENT & MUSIC"
762187F,CONTROL UNIT,"Part Number: 762187FDescription: OUTLINE BUS POWER CONTROL UNIT"
2040061-103,PRESSURE SWITCH,"Part Number: 2040061-103Description: SWITCH, DIFFERENTIAL PRESSURE FILTER"
285A1010-106,SMYD COMPUTER,"Part Number: 285A1010-106Description: STALL MANAGEMENT/YAW DAMPER (SMYD)"
2313M-347-4,WINDSCREEN WIPER MOTOR,"Part Number: 2313M-347-4Description: WINDSCREEN WIPER MOTOR CONVERTER"
3291766-2,VALVE-NGS,"Part Number: 3291766-2Description: VALVE, SHUTOFF, NGS"
8396-5,HORIZONTAL STABILIZER TRIM ACTUATOR,"Part Number: 8396-5Description: HSTA, ACTUATOR, HORIZONTAL STABILIZER TRIM"
113T4100-402G,SPOILER,"Part Number: 113T4100-402GDescription: SPOILER, INBOARD, RH, NO. 7 AND 8"
2520,BATTERY,"Part Number: 2520Description: BATTERY"
C12351AA,ANTENNA,"Part Number: C12351AADescription: ANTENNA-ADF"
267SV,AIR CHILLER,"Part Number: 267SVDescription: REFRIGERATION UNIT-AIR CHILLER"
622-5136-202,ANTENNA PEDESTAL MOUNT,"Part Number: 622-5136-202Description: MOUNT-WEATHER RADAR ANTENNA DRIVE UNIT"
285W0863-7,CABIN CONTROL PANEL,"Part Number: 285W0863-7Description: CABIN CONTROL PANEL MODULE AY"
63543-280-2,"INDICATOR, DISTANCE","Part Number: 63543-280-2Description: DISTANCE BEARING INDICATOR"
735632-7,HYDRAULIC SY,"Part Number: 735632-7Description: HSMU-HYDRAULIC SYSTEM MONITORING UNIT"
822-3158-001,PORTABLE DATA LOADER,"Part Number: 822-3158-001Description: PORTABLE DATA LOADER"
3945128218,ELEVATOR AILERON COMPUTER,"Part Number: 3945128218Description: COMPUTER, ELEVATOR AND AILERON (ELAC)"
ADTS405F,AIR DATA TEST SET,"Part Number: ADTS405FDescription: AIR DATA TEST SYSTEM FLIGHT LINE"
822-0314-303,SATELLITE DATA UNIT,"Part Number: 822-0314-303Description: SDU-SATELLITE DATA UNIT"
376046-103,LINK ASSEMBLY,"Part Number: 376046-103Description: LINK ASSEMBLY"
2LA005163-25,LIGHT ASSY MAP,"Part Number: 2LA005163-25Description: LIGHT ASSY MAP"
8ES360000-00,BATTERY PACK,"Part Number: 8ES360000-00Description: BATTERY PACK"
GM428-4034-1,LINE ASSY FUEL,"Part Number: GM428-4034-1Description: LINE ASSY FUEL"
2LA006615-22,LIGHT ASSY NAVIGATI,"Part Number: 2LA006615-22Description: LIGHT, RED, NAVIGATION, WING"
2LA007742-22,LIGHT ASSY,"Part Number: 2LA007742-22Description: LIGHT,REFERENCE EYE"
AL-1235-T-1003B,LAMP ASSY,"Part Number: AL-1235-T-1003BDescription: LAMP, 12MM TRI CURVEDBACK"
8ES007656-22,CONTROL INDICATION UNIT,"Part Number: 8ES007656-22Description: UNIT, CONTROL INDICATION, LIGHT"
H321DQM,GYROSCOPIC HORIZON,"Part Number: H321DQMDescription: STANDBY ATTITUDE, HORIZON"
453-6500,NAVELT INTERFACE,"Part Number: 453-6500Description: NAVELT INTERFACE"
GG436-4002-7,INSULATION JACKET,"Part Number: GG436-4002-7Description: JACKET ASSY INSULAT"
AE712890-1,HYDRO HOSE,"Part Number: AE712890-1Description: HOSE, FLEX, HYDRAULIC"
724866-805BK,HANDSET,"Part Number: 724866-805BKDescription: HANDSET, COCKPIT"
GM148-1003-2,FLAP ASSY,"Part Number: GM148-1003-2Description: FLAP ASSY OUTBD RH"
MXP210-00,SMOKE GOGGLES,"Part Number: MXP210-00Description: SMOKE GOGGLES"
BR700-710A2-20,ENGINE,"Part Number: BR700-710A2-20Description: SWITCH PRESSURE ENGINE"
PW4060-1,ENGINE,"Part Number: PW4060-1Description: ENGINE"
3050000-5,FIRE EXTINGUIHER,"Part Number: 3050000-5Description: FIRE EXTINGUIHER"
3017600,POWER SECTION,"Part Number: 3017600Description: POWER SECTION"
3070800-74,CONTROL FUEL ASSY MAIN TURBINE ENGINE,"Part Number: 3070800-74Description: CONTROL FUEL ASSY MAIN TURBINE ENGINE"
2080M35G11,NOZZLE,"Part Number: 2080M35G11Description: H.P.T. NOZZLE SEGMEN"
2119584-4,"CONTROL UNIT, APU","Part Number: 2119584-4Description: ELECTRONIC CONTROL UNIT"
1152426-245,APU START CONVERTER,"Part Number: 1152426-245Description: APU STARTER CONTROL UNIT"
2704554-2,STARTER MOTOR,"Part Number: 2704554-2Description: STARTER MOTOR"
1151952-18,STDBY PWR CTRL UNIT,"Part Number: 1151952-18Description: STANDBY POWER CONTROL UNIT"
70720860-1,"ELECTRONIC CONTROL UNIT, APU","Part Number: 70720860-1Description: ELECTRONIC CONTROL UNIT, APU"
BA03604,GENERATOR,"Part Number: BA03604Description: GENERATOR-APU"
3876287-1,MODULE DATA MEMORY,"Part Number: 3876287-1Description: MODULE-DATA MEMORY"
3883297-7,FLOW DIVIDER ASSY,"Part Number: 3883297-7Description: FLOW DIVIDER ASSY"
519858-8,MOTOR STARTER,"Part Number: 519858-8Description: MOTOR-ENGINE STARTER"
3885091-4,VALVE SHUTOFF,"Part Number: 3885091-4Description: VALVE SHUTOFF"
3876223-1,"TRANSDUCER, MOTIONAL PICKUP","Part Number: 3876223-1Description: TRANSDUCER, MOTIONAL PICKUP"
3876046-4,SOLENOID VALVE,
622-6137-201,RECEIVER ASSY,"Part Number: 622-6137-201Description: VOR/LOC/GS/MB RECEIVER VIR-32"
4923T56G05,FAN BLADE,"Part Number: 4923T56G05Description: FAN BLADE"
622-9210-003,TRANSPONDER,"Part Number: 622-9210-003Description: TRANSPONDER, ATC MODE S (TDR-94D)"
102AU1AF,SENSOR,"Part Number: 102AU1AFDescription: SENSOR-TOTAL TEMPERATURE"
622-7292-101,TRANSCEIVER,"Part Number: 622-7292-101Description: TRANSCEIVER, VHF COMM"
805813-1-005,CONTROL,"Part Number: 805813-1-005Description: CONTROL ENGINE ELECTRONIC"
0871BN8-1,ICE DETECTOR,"Part Number: 0871BN8-1Description: ICE DETECTOR"
782477-1,TORQUE MOTOR,"Part Number: 782477-1Description: TORQUE MOTOR SPEED BIAS"
90002317-2WTA,WHEEL MAIN,"Part Number: 90002317-2WTADescription: EJET WHEEL WITH RUBBER"
S5307300001400,TAIL CONE ASSY,"Part Number: S5307300001400Description: TAIL CONE ASSY"
58311-007,CARTRIDGE,"Part Number: 58311-007Description: CARTRIDGE (KIDDE-GRAVINER)"
58341-001,FUSE,"Part Number: 58341-001Description: FUSE (KIDDE-GRAVINER)"
48553-121,PRESSURE RELIEF PLUG ASSY (KG),"Part Number: 48553-121Description: PRESSURE RELIEF PLUG ASSY (KG)"
51653-274,FIREWIRE CONTROL UNIT,"Part Number: 51653-274Description: FIREWIRE CONTROL UNIT (KG)"
472420-2,FIRE EXTINGUISHER,
892480,AIRCRAFT FIREX LIQUID TYPE,"Part Number: 892480Description: AIRCRAFT FIREX LIQUID TYPE"
466090,"FIREX, PORTABLE","Part Number: 466090Description: FIREX, PORTABLE (HALON 1211)"
476288,EXTINGUISHER 5,"Part Number: 476288Description: EXTINGUISHER 5 B:C HALOTRON BrX"
G825100-3,"FIREX, DISPOSABLE","Part Number: G825100-3Description: FIREX, DISPOSABLE (POTTY)"
878562-2,"CARTRIDGE, DEVICE","Part Number: 878562-2Description: CARTRIDGE, DEVICE (SMALL CUP)"
878238-02,"FIRE DET, PLUG CONNECTOR","Part Number: 878238-02Description: FIRE DET, PLUG CONNECTOR"
10-1096-02,DETECTOR / 5’LG,"Part Number: 10-1096-02Description: DETECTOR / 5'LG / (APD) MODEL 101"
10-1099-01,DETECTOR /10’LG,"Part Number: 10-1099-01Description: DETECTOR /10'LG/(APD)MODEL 101"
10-1098-01,DETECTOR /28’LG,"Part Number: 10-1098-01Description: DETECTOR /28'LG/(APD)MODEL 101"
10-1097-02,DETECTOR/26’LG,"Part Number: 10-1097-02Description: DETECTOR/26'LG/ (APD)MODEL 101"
446518-1,"CARTRIDGE,POWER DEVICE","Part Number: 446518-1Description: CARTRIDGE,POWER DEVICE/1AMP/1W"
473919-1,FIREX,"Part Number: 473919-1Description: FIREX, 378 CU.IN. DUAL OUTLET"
473916-3,FIREX,"Part Number: 473916-3Description: FIREX, 125 CU.IN. DUAL OUTLET"
472247-1,PRESSURE SWITCH,"Part Number: 472247-1Description: PRESSURE SWITCH, TEMPERATURE"
800275,BRACKET-UPPER,"Part Number: 800275Description: BRACKET-UPPER AIRCRAFT TYPE"
424634,CARTRIDGE 20PC,"Part Number: 424634Description: CARTRIDGE 20PC PACKAGE KIT 1.4C AS 1.4S"
G825100-4,FIREX,"Part Number: G825100-4Description: FIREX, DISPOSABLE (POTTY)"
475089-1,FIREX 224 CU,"Part Number: 475089-1Description: FIREX 224 CU IN DUAL OUTLET"
474158-3,FIREX,"Part Number: 474158-3Description: FIREX DUAL OUTLET 1400 CU IN"
PT6A-114A,ENGINE NEW 675 HP,
