Part Name,Description,Quantity
"021-355-0 TIRE 11.00-12 10PLY 160 mph, 10 Ply",,1
M20101-01 TYRE MAIN,,1
M01103-02 TIRE – MAIN,"Part Number: M01103-02Description: 46x17.0R20 30PR 225mph Radial TL Michelin Air…",1
"114079019 VALVE, LANDING GEAR SELECTOR","Part Number: 114079019Description: ELECTRO-HIDRAULIC SELECTORS",1
89794077 – CYLINDER & VALVE ASSY,"Part Number: 89794077Description: PORTABLE OXYGEN CYLINDER AND VALVE ASSEMBLY",1
887477 HYDRAULIC PUMP,"Part Number: 887477Description: AC MOTOR PUMP-HYDRAULIC",1
560A0000-02 – COMMAND SENSOR,"Part Number: 560A0000-02Description: SNSRUNIT SENSOR UNIT-COMMAND",1
D24001000 – VALVE CONTROL PARKING PRESSURE LIMITER,"Part Number: D24001000Description: VALVE CONTROL PARKING PRESSURE LIMITER",1
14320-030 – DRAIN VALVE ASSEMBLY,"Part Number: 14320-030Description: WASTE DRAIN VALVE",1
30-1951-1 – ANTI-COLLISION LIGHT,"Part Number: 30-1951-1Description: AIRCRAFT NAVIGATION ANTI-COLLISION STROBE LIGHT",1
3289614-3 – VALVE ANTI-ICE,"Part Number: 3289614-3Description: VALVE ANTI ICE SHUTOFF",1
930-2000-001 – TRANSCEIVER WEATHER RADAR,"Part Number: 930-2000-001Description: RECEIVER-TRANSMITTER,RADAR",1
1159SCL404-5 – BRAKE ASSEMBLY,"Brake Assembly, Overhauled, Dunlop AHA2070, (Sold Exchange) (Call or Email…",1
338-067-014-0 – FAN OUTLET GUIDE VANE,"Part Number: 338-067-014-0Description: VANE-OUTLET GUIDE DOUBLET",1
D0001037600000 – FLEXIBLE HYDRAULIC HOSE,"Part Number: D0001037600000Description: FLEXIBLE HYDRAULIC HOSE",1
E21330000-1 – BRAKE SERVOVALVE,"Part Number: E21330000-1Description: VALVE, DIRECT DRIVE BRAKE",1
L95F50-603 – OVERPRESSURE PROTECTOR,"Part Number: L95F50-603Description: PROTECTR-TANK OVERPRESSURE",1
0108900-01 RESTRAINT SYSTEM,"Part Number: 0108900-01Description: RESTRAINT SYSTEM",1
3876131-1 IGNITER PLUG,"Part Number: 3876131-1Description: IGNITER PLUG",1
40-622567-002  PRIMARY ACCESS TERMINAL,"Part Number: 40-622567-002Description: PRIMARY ACCESS TERMINAL",1
04P23-12 SOLENOID – BLEED VALVE,"Part Number: 04P23-12Description: SOLENOID - 2.9 3-WAY BLEED VALVE",1
3888058-7 EXCITER-IGNITION,"Part Number: 3888058-7Description: EXCITER-IGNITION, AUXILIARY POWER UNIT",1
"1603-02-12 – RECORDER, COCKPIT VOICE, CVR-120","Part Number: 1603-02-12Description: RECORDER, COCKPIT VOICE, CVR-120",1
4005-1-011-9006 RESTRAINT SYSTEM ASSY,"Part Number: 4005-1-011-9006Description: RESTRAINT, SEAT BELT",1
GA62923 PIPE ASSY,"Part Number: GA62923Description: PIPE ASSY",1
D126111-504 PASSENGER SERVICE UNIT,"Part Number: D126111-504Description: PSU, LONG LOUD SPEAKER (RH)",1
7439FT972 SEAL-T RING,"Part Number: 7439FT972Description: SEAL ASSEMBLY AGT RING",1
"9527106-501 BOX, RELAY","Part Number: 9527106-501Description: RELAY BOX ASSY(COCKPIT DOOR)",1
4275-1-011-8110 RESTRAINT SYSTEM,"Part Number: 4275-1-011-8110Description: RESTRAINT SYSTEM",1
"111-1-1100 SWITCH, PRESSURE","Part Number: 111-1-1100Description: PRESSURE SWITCH",1
2041217-0418 WEATHER RADAR TRANSCEIVER,"Part Number: 2041217-0418Description: TRANSCEIVER-WEATHER RADAR",1
822-0987-003 COUPLER-HF ANTENNA,"Part Number: 822-0987-003Description: HF DIGITAL ANTENNA COUPLER",1
C14135DA AIR DATA PROBE LEFT,"Part Number: C14135DADescription: PROBE - AIR DATA, LEFT",1
NP157901-22 WINDSHIELD ASSY (RH),"Part Number: NP157901-22Description: WINDSHIELD ASSY (RH)",1
LH1460205 DUCT ASSY PYLON,"Part Number: LH1460205Description: DUCT ASSY-PYLON",1
"3009243 BEARING, BALL, FLANGED","Part Number: 3009243Description: BEARING, BALL, FLANGED",1
740-0445-511 BEAM ASSY,"Part Number: 740-0445-511Description: BEAM ASSY, FORWARD CROSSOVER",1
PL1100LH01 LIGHT STRIP,"Part Number: PL1100LH01Description: LIGHT STRIP OCEAN TINT",1
"PR1440B1/2 SEALANT, 654 SEM-KIT – 6OZ","Part Number: PR1440B1/2Description: SEALANT, 654 SEM-KIT - 6OZ",1
MOBIL JET OIL II  MIL-PRF-23699,"Part Number: MOBIL JET OIL IIDescription: OIL MOBIL JET II…",1
13100-200 SEAL,"Part Number: 13100-200Description: SEAL DUCT UPLEX",1
PR1826B1/4 SEALANT SEMKIT,"Part Number: PR1826B1/4Description: SEALANT SEMKIT",1
C23502-117-001 BLOCK ASSEMBLY,"Part Number: C23502-117-001Description: BLOCK ASSEMBLY",1
BACB30YK10K8X BOLT,"Part Number: BACB30YK10K8XDescription: BOLT",1
517212-4 IGNITER,"Part Number: 517212-4Description: IGNITER",1
"APT-482B-1250-60D TRANSDUCER, FUEL FILTER DP","Part Number: APT-482B-1250-60DDescription: TRANSDUCER, FUEL DIFFERENTIAL PRESSURE",1
APT-483-1250-1615A SENSOR,"Part Number: APT-483-1250-1615ADescription: SENSOR, FUEL MANIFOLD PRESS",1
HT3326-5-200 SELF LEVELLING GREEN,"Part Number: HT3326-5-200Description: SELF LEVELING SEALANT GREEN",1
600-10910-5 GASKET WING TANK DOOR,"Part Number: 600-10910-5Description: GASKET, WING TANK DOOR",1
697071003 PROPELLER BLADE,"Part Number: 697071003Description: PROPELLER BLADE AND BEARING ASSY",1
DCIN154-052 HEAD ASSY,"Part Number: DCIN154-052Description: HEAD ASSY SOAP DISPENSER",1
30903886 CARTRIDGE,"Part Number: 30903886Description: CARTRIDGE",1
"A9270-1 HOSE ASSY, ACOC OUTLET","Part Number: A9270-1Description: AIR COOLED OIL COOLER (ACOC) HOSE ASSY",1
PR1425B-1/2-CF SEALANT,"Part Number: PR1425B-1/2-CFDescription: SEALANT: POLYSULFIDEA/B6OZ CHRO",1
4501089A NOZZLE ASSY,"Part Number: 4501089ADescription: NOZZLE ASSY, PILOT",1
27A01-30006-21 RING,"Part Number: 27A01-30006-21Description: RING BACK-UP",1
8050917-006 PAPER ROLL,"Part Number: 8050917-006Description: PAPER ROLL",1
"810205-3 VALVE, CHECK","Part Number: 810205-3Description: VALVE, CHECK - FAN BYPASS",1
7026201-803 VDR ASSEMBLY,"Part Number: 7026201-803Description: VHF DIGITAL DATA RADIO MODE 2",1
340-167-902-0 BEARING,"Part Number: 340-167-902-0Description: BEARING ROLLER",1
2293B020000 CHECK VALVE,"Part Number: 2293B020000Description: CHECK VALVE-IP BLEED",1
211505-811 T-DIVIDER ASSY,"Part Number: 211505-811Description: T-DIVIDER ASSY",1
442653 HMU-HYDROMECHANICAL UNIT,"Part Number: 442653Description: HYDRO MECHANICAL UNIT",1
8TJ146CFA1 SENSOR – OIL LEVEL,"Part Number: 8TJ146CFA1Description: OIL LEVEL SENSOR QTY",1
336-063-001-0 DUCT-AIR,"Part Number: 336-063-001-0Description: DUCT-AIR",1
3031863-001 HYDRAULIC PUMP,"Part Number: 3031863-001Description: PUMP HYDRAULIC",1
"1FA14012-8 ACTUATOR, COWL DOOR","Part Number: 1FA14012-8Description: ACTUATOR-THRUST REVERSER COWL OPENING",1
"65-90305-58 KIT, FILTER","Part Number: 65-90305-58Description: KIT: FILTER ELEMENT,OIL, BOEING 737",1
2383R03-00-1DL RECEPTACLE,"Part Number: 2383R03-00-1DLDescription: RECEPTACLE",1
"2383SG04-01BP STUD, NUT","Part Number: 2383SG04-01BPDescription: STUD NUT",1
2383GF13-01BP GROMMET,"Part Number: 2383GF13-01BPDescription: GROMMET,CRES",1
35518-48-400 SENSING ELEMENT,"Part Number: 35518-48-400Description: SENSING ELEMENT",1
9258-450 O-RING,"Part Number: 9258-450Description: O-RING, ENCAPSULATED",1
51SP16252-2 DE-ICER,"Part Number: 51SP16252-2Description: DE-ICER DASH8-Q400",1
51SP16256-2 DE-ICER,"Part Number: 51SP16256-2Description: DE-ICER DASH8-Q400",1
170-71180-409 NLG RETRACTION ACTUATOR,"Part Number: 170-71180-409Description: RETRACTION ACTUATOR ASSY",1
D5211026920000 BOLT,"Part Number: D5211026920000Description: BOLT",1
150SG1009-5 BRUSH ELECTRICAL,"Part Number: 150SG1009-5Description: BRUSH,STARTER GENERATOR",1
"892480 EXTINGUISHER-FIRE, PORTABLE","Part Number: 892480Description: WATER PORTABLE FIRE EXTINGUISHER",1
D717-01-100 BATTERY PACK,"Part Number: D717-01-100Description: BATTERY EMER LIGHT",1
778000 FILTER-WATER,"Part Number: 778000Description: FILTER, FRESH WATER, RSA2",1
28301-02 MASK ASSY,"Part Number: 28301-02Description: MASK ASSY-DISPOSABLE",1
RD-KA8503-04 PASSENGER CONTROL UNIT,"Part Number: RD-KA8503-04Description: PCU-PASSENGER CONTROL UNIT",1
32802-1 U-CUP SEAL,"Part Number: 32802-1Description: U-CUP SEAL-FAUCET CARTRIDGE, PLASTIC",1
0121520500-5 VALVE,"Part Number: 0121520500-5Description: IN-LINE MINIATURE FLARELESS CHECK VALVE",1
NP165312-7 WINDOW-SLIDING (LH),"Part Number: NP165312-7Description: L/H #2 SLIDING WINDOW",1
B4209-3 RETAINER,"Part Number: B4209-3Description: RET RING ASSEMBLY",1
"2118002-8 FUEL COMPUTER, DEEC","Part Number: 2118002-8Description: DIGITAL ENGINE CONTROL",1
338-067-007-0 VANE- OGV,"Part Number: 338-067-007-0Description: VANE-OUTLET GUIDE DOUBLET",1
H3479-5 LATCH ASSY,"Part Number: H3479-5Description: PUSH BUTTON LATCH ASSEMBLY",1
15-40F-11 SMOKE HOOD,"Part Number: 15-40F-11Description: PBE GASEOUS OXYGEN",1
46108-3 AXLE-MLG,"Part Number: 46108-3Description: AXLE, MLG",1
"82551317-005 SUPPORT ASSY, NET","Part Number: 82551317-005Description: SUPPORT ASSY BAGG NET.",1
BAC70846 PAINT,"Part Number: BAC70846Description: PAINT",1
L0060009 FLOODLIGHT,"Part Number: L0060009Description: FLOODLIGHT ASSY",1
"800485-2-010 CONTROLLER, APU","Part Number: 800485-2-010Description: ELECTRONIC CONTROL UNIT",1
3900473 DETENT ASSY,"Part Number: 3900473Description: DETENT ASSY",1
2610-08-1 ELECTRONIC CHRONOMETER,"Part Number: 2610-08-1Description: CHRONOMETER, DIGITAL ELECTRONIC GMT, CLOCK",1
"799B020000 COOLING UNIT,GROUND","Part Number: 799B020000Description: GRU-GROUND REFRIGERATION UNIT",1
90000583-6PR BRAKE UNIT,"Part Number: 90000583-6PRDescription: CARBON BRAKES ASSY, MLG CAR",1
CG1151AC03 CONTROL DISPLAY UNIT,"Part Number: CG1151AC03Description: CDU-CONTROL DISPLAY UNIT",1
144-186-000-011 VIBRATION SENSOR,"Part Number: 144-186-000-011Description: SENSOR VIBRATION BEARING",1
60-755100-5 FUEL BOOSTER PUMP,"Part Number: 60-755100-5Description: MOTOR IMPELLER SUBASSY, FUEL BOOST PUMP",1
174101-02-01 CONTROL DISPLAY UNIT,"Part Number: 174101-02-01Description: MCDU-MULTIPURPOSE CONTROL AND DISPLAY UNIT",1
S1819502-02 ELT TRANMITTER,"Part Number: S1819502-02Description: ELT-EMERGENCY LOCATOR TRANSMITTER",1
622-5132-633 RADAR TRANSCEIVER,"Part Number: 622-5132-633Description: WEATHER RADAR TX/RX",1
601C1201-011 FIRE BLANKET UPPER C,"Part Number: 601C1201-011Description: FIRE BLANKET-UPR CORE",1
176200-01-01 FLIGHT MANAGEMENT COMPUTER,"Part Number: 176200-01-01Description: FMC - FLIGHT MANAGEMENT COMPUTER",1
30211-0102 TRANSIENT SUPPRESION,"Part Number: 30211-0102Description: TRANSIENT SUPPRESION DEVICE",1
HG2050AC07 UNIT ASSY – AIR DATA INERTIAL,"Part Number: HG2050AC07Description: AIR DATA INERTIAL REFERENCE UNIT",1
9000408-22 TRANSMITTER,"Part Number: 9000408-22Description: FLAP POSITION TRANSMITTER",1
822-1604-101 FLIGHT CONTROL COMPUTER,"Part Number: 822-1604-101Description: COLLINS FLIGHT CONTROL COMPUTER",1
327000-102M01 FTU-RUDDER PEDAL,"Part Number: 327000-102M01Description: UNIT, RUDDER PEDAL FORCE TRANSFER",1
8TJ163AAB1 SPEED SENSOR,"Part Number: 8TJ163AAB1Description: ENGINE N1 SPEED SENSOR",1
14330-004C1 TOILET ASSY,"Part Number: 14330-004C1Description: FLUSHING TOILET ASSE",1
9701-14-0000 LIGHT ASSY LED OVER,"Part Number: 9701-14-0000Description: OVER WING EXIT LIGHT ASSEMBLY",1
D2727000700600 SPRING ROD,"Part Number: D2727000700600Description: ROD, YAW DAMPER SPRING",1
"80-003-06 SENSOR, ELECT MODULE PROX","Part Number: 80-003-06Description: PROXIMITY SENSOR ELECTRONIC MODULE",1
8TC19AAR1 SENSOR-TEMP CPRSR DISCH,"Part Number: 8TC19AAR1Description: SENSOR, TEMPERATURE COMPRESSOR DISCHARGE",1
31077-111 SPOILER ACTUATOR,"Part Number: 31077-111Description: SERVOCONTROL-SPOILER,INBOARD",1
CA75810-0001 DOOR LOCK ACTUATOR,"Part Number: CA75810-0001Description: CYLINDER, RAMP LOCK",1
251A4510-10 ACTUATOR STAB TRIM,"Part Number: 251A4510-10Description: ACTUATOR - TRIMMABLE HORIZONTAL STABILIZER (THSA)",1
740-5265-505 TUBE ASSY,"Part Number: 740-5265-505Description: TUBE ASSY DRAIN ACOC ACTUATOR",1
AHA2424 BRAKE UNIT,"Part Number: AHA2424Description: CARBON BRAKE ASSEMBLY",1
C5120-3 STARTER ELEC,"Part Number: C5120-3Description: MOTOR STARTER",1
48114-1135 COOLER-OIL,"Part Number: 48114-1135Description: IDG AIR COOLED OIL COOLER",1
D23581100-5 LEG ASSY-NLG,"Part Number: D23581100-5Description: LEG ASSY-NLG",1
1019439-2-001 PANEL PRESSURE SELECTOR,"Part Number: 1019439-2-001Description: PANEL, PRESSURE SELECTOR",1
2A2917 SEAL,"Part Number: 2A2917Description: SEAL ASSY,#1 BEARING",1
1324M12P10 VSV ACTUATOR,"Part Number: 1324M12P10Description: ACTUATOR-VARIABLE STATOR",1
194792-4 PRECOOLER,"Part Number: 194792-4Description: BLEED-AIR PRECOOLER",1
21435-00 BEACON LOCATOR-UNDERWATER,"Part Number: 21435-00Description: BEACON-ACOUSTIC UNDERWATER LOCATOR",1
1152464-265 START POWER UNIT,"Part Number: 1152464-265Description: APU START POWER UNIT",1
"50S055-001 SHROUD SET, C-5 HPC","Part Number: 50S055-001Description: HPC 5TH STG SHROUD",1
2LA005303-05 LIGHT STROBE TAIL,"Part Number: 2LA005303-05Description: LIGHT UNIT-STROBE",1
9011440500-1 DAMPENER-HYDRAULIC,"Part Number: 9011440500-1Description: SUPPORT-DAMPNER, HYDRAULIC",1
338-118-602-0 MANIFOLD-AIR,"Part Number: 338-118-602-0Description: LPTACC MANIFOLD DUCT, TUBE",1
21230-03AC OUTFLOW VALVE,"Part Number: 21230-03ACDescription: VALVE ASSY-OUTFLOW",1
7514081-903 TCAS DIRECTIONAL ANTENNA,"Part Number: 7514081-903Description: NTENNAS,TCAS-RADIO/NAVIGATION SYS",1
3552AAADAACXCD OXYGEN UNIT- PORTABL,"Part Number: 3552AAADAACXCDDescription: PORTABLE OXYGEN CYLINDER ASSY",1
2042M67P04 ELECTRONIC CONTROL UNIT,"Part Number: 2042M67P04Description: CONTROL-ELECTRONIC ENGINE (FADEC)",1
30030-000 THERMOCOUPLE,"Part Number: 30030-000Description: THERMOCOUPLE PROBE",1
D5211200300000 PASSENGER DOOR FRONT LH,"Part Number: D5211200300000Description: PASSENGER DOOR FRONT LH",1
2313M-348-4 MOTOR ASSY – CONVERTER,"Part Number: 2313M-348-4Description: MOTOR/CONVERTER ASSY - WINDSHIELD WIPER (R/H)",1
337-108-520-0 AIR OIL SEPARATOR,"Part Number: 337-108-520-0Description: SEPARATOR, AIR OIL",1
9972M46G05 NUT LOCKING NO.3 BRG,"Part Number: 9972M46G05Description: NUT LOCKING NO 3 BEARING",1
3210-005MB-001 TRASH COMPACTOR,"Part Number: 3210-005MB-001Description: INFLIGHT TRASH COMPACTOR",1
20P78-6 VALVE,"Part Number: 20P78-6Description: VALVE, TURBINE COOLING AIR",1
3810056-108 VALVE THRUST REVERSE,"Part Number: 3810056-108Description: VALVE MODULE CONTROL, THRUST REVERSER",1
LM321SA19V ISOLATOR VIBRATION,"Part Number: LM321SA19VDescription: AFT ISOLATOR ASSEMBLY",1
"106-1-1100-02 ACTUATOR, APU","Part Number: 106-1-1100-02Description: ACTUATOR, APU AIR INTAKE",1
17343-116-825F SWITCH,"Part Number: 17343-116-825FDescription: THERMAL SWITCH",1
"4298117 LIGHT,LANDING","Part Number: 4298117Description: LIGHT-TAKE OFF AND TAXI",1
6137-5 ACTUATOR RUDDER TRIM,"Part Number: 6137-5Description: ACTUATOR-RUDDER TRIM",1
55D680 VANE ASSEMBLY,"Part Number: 55D680Description: FAN EXIT-GUIDE VANE",1
201590900 RETRACT ACT PIN,"Part Number: 201590900Description: RETRACT ACTUATOR PIN",1
VD3900-03 RECIRCULATION FAN,"Part Number: VD3900-03Description: FAN RECIRCULATION",1
3289562-5 CONTROL VALVE PRE-COOLER,"Part Number: 3289562-5Description: VALVE ASSY, PRE COOLER CFM56-7",1
21933-01AC PRESSURE CONTROLLER,"Part Number: 21933-01ACDescription: CONTROLLER, CABIN PRESSURE",1
320-401-201-0 HARNESS,"Part Number: 320-401-201-0Description: HARNESS-WIRING CJ13",1
101-410068-5 RADOME ASSY,"Part Number: 101-410068-5Description: CONE ASSY NOSE",1
315A2800-2 ACTUATOR,"Part Number: 315A2800-2Description: ACTUATOR ASSY-NON-LOCKING",1
7510300-901 ADF ANTENNA,"Part Number: 7510300-901Description: ASSY, ADF ANTENNA AT-860",1
141W6105-22 HINGE ASSY,"Part Number: 141W6105-22Description: HINGE ASSY",1
AC69924 BLEED VALVE,"Part Number: AC69924Description: VALVE, BLEED STG 7, HP COMPRESSOR",1
"1001246-3 VALVE, HIGH STAGE BLEED","Part Number: 1001246-3Description: BLEED PRESSURE REGULATING AND SHUT",1
161A1142-301 LINK ASSY-TORSION LWR,"Part Number: 161A1142-301Description: LINK ASSY-TORSION LWR",1
7B0358 GEARSFTY,"Part Number: 7B0358Description: ANGLE DRIVE BEVEL GEARSHAFT",1
"8TC34ABY1 PROBE, THERMOCOUPLE","Part Number: 8TC34ABY1Description: PROBE, THERMOCOUPLE TEMP",1
87006-9 STATOR,"Part Number: 87006-9Description: STATOR ALTERNATOR",1
568-1-27202-05R FUEL PUMP,"Part Number: 568-1-27202-05RDescription: FUEL PUMP",1
745-2010-503 FRONT ENGINE MOUNT,"Part Number: 745-2010-503Description: FORWARD MOUNT, ENGINE",1
1012191-1 SWITCH PRESSURE,"Part Number: 1012191-1Description: ENGINE HIGH PRESS SWITCH",1
103008-103 SLIDE,"Part Number: 103008-103Description: ESCAPE SLIDE RAFT",1
141W4835-7 WINDOW AY,"Part Number: 141W4835-7Description: WINDOW AY",1
100-604014-100 EDU,"Part Number: 100-604014-100Description: EDU, MONITOR",1
"831A0000-02 BRAKE, WING TIP","Part Number: 831A0000-02Description: BRAKE-WING TIP (NP)",1
6F4016-12 VALVE,"Part Number: 6F4016-12Description: DRAIN VALVE",1
"65-46288-12 LINK, TORSION","Part Number: 65-46288-12Description: TORSION LINK AY UPPER",1
3214-31 BATTERY PACK,"Part Number: 3214-31Description: BATTERY, EMERGENCY POWER SUPPLY",1
S5431301100100 COWL ASSY,"Part Number: S5431301100100Description: COWL ASSY",1
1460M52P03 POSITION BALL NO 3,"Part Number: 1460M52P03Description: BEARING BALL THRUST NO.3",1
822-0334-003 TRANSCEIVER,"Part Number: 822-0334-003Description: TRANSCEIVER-RADIO ALTIMETER",1
822-2764-050 TRANSCEIVER,"Part Number: 822-2764-050Description: HFS TRANSCEIVER HFS-2200",1
G4000VSVA01 ACTUATOR STATOR,"Part Number: G4000VSVA01Description: ACTUATOR, STATOR VANE",1
337-005-118-0 CONE,"Part Number: 337-005-118-0Description: SPINNER CONE FRONT",1
032210-00 HARNESS,"Part Number: 032210-00Description: HARNESS ELECTRICAL ASSY CREW SEAT",1
0006648-801 CONTROL BOX,"Part Number: 0006648-801Description: CONTROL BOX, CARGO COMPARTMENT",1
P99C38-605 PUMP FUEL MAIN,"Part Number: P99C38-605Description: FUEL MAIN BOOST PUMP",1
029-658-0 NOSE TIRE,"Part Number: 029-658-0Description: TIRE 26x6.6/12PLY/225MPH ,MICHELIN",1
039-853-0 MAIN TIRE,"Part Number: 039-853-0Description: MICHELIN MAIN TIRE H44.5X16.5-20/28/225",1
020-791-0 MAIN TIRE,"Part Number: 020-791-0Description: TIRE: 49X17-32PLY,TL,235MPH, MICHELIN",1
039-769-2 TIRE NLG A300,"Part Number: 039-769-2Description: TIRE: 40X14-24PLY,TL,225MPH",1
040-800-1 MAIN TYRE ASSY,"Part Number: 040-800-1Description: TIRE: H40X145-19PLY",1
34-110589-1 BUSHING,"Part Number: 34-110589-1Description: BUSHING TEFLON",1
34-110589-2 BUSHING,"Part Number: 34-110589-2Description: BUSHING TEFLON",1
150710-11C05 HOUSSE,"Part Number: 150710-11C05Description: HOUSSE B.DOS CUDA23-45",1
45-150-340 AOA SENSOR,"Part Number: 45-150-340Description: SENSOR, ANGLE OF ATTACK",1
1806B0000-02 VALVE ASSY,"Part Number: 1806B0000-02Description: VALVE ASSY FLOW CONTROL",1
104005-1 EVACUATION SLIDE,"Part Number: 104005-1Description: EMERGENCY EVACUATION SLIDE ASSY, AF",1
1152682-2 TRANSMITTER,"Part Number: 1152682-2Description: EMERGENCY LOCATOR TRANSMITTER",1
815470-2 HUB,"Part Number: 815470-2Description: AIRCRAFT PROPELLER HUB",1
0856AE19 PITOT TUBE,"Part Number: 0856AE19Description: PITOT STATIC TUBE",1
P3-03-0030-010 ELT,"Part Number: P3-03-0030-010Description: EMERGENCY LOCATION TRANSMITTER",1
6594-01 MODULE,"Part Number: 6594-01Description: FIRE & OVERHEAT DETECTION SYSTEM CONTROL MODULE",1
342B050000 TEMPERATURE CONTROL,"Part Number: 342B050000Description: TEMPERATURE CONTROL THERMOSTAT",1
41401091-501 PUSHER ASSY,"Part Number: 41401091-501Description: PUSHER ASSY",1
15-0026-3 FLOOD LIGHT,"Part Number: 15-0026-3Description: FLOOD LIGHT ASSY",1
849589 HYD PUMP,"Part Number: 849589Description: HYD PUMP , ENGINE DRIVEN",1
D72D70487-111 WASTE,"Part Number: D72D70487-111Description: CHUTE WASTE ASSY",1
1312A0000-01 VALVE,"Part Number: 1312A0000-01Description: PACK TEMP BYPASS VALVE",1
PH1100-MU-L-1 PITOT TUBE,"Part Number: PH1100-MU-L-1Description: PITOT TUBE, ELECTRICALLY HEATED",1
8061-536 HMU,"Part Number: 8061-536Description: HMU-HYDROMECHANICAL UNIT",1
G7402-04 PANEL,"Part Number: G7402-04Description: CONTROL PANEL-ADF",1
L3022036-025 BRACKET,"Part Number: L3022036-025Description: BRACKET",1
6B1156 SHROUD ASSY,"Part Number: 6B1156Description: SHROUD ASSY, VSV STG 3",1
1806D0000-01 VALVE ASSY,"Part Number: 1806D0000-01Description: VALVE ASSY FLOW CONTROL",1
15172-101 PIN,"Part Number: 15172-101Description: DRAG STAY PIN S/A",1
KIT47145-27-20 ELSD KIT,"Part Number: KIT47145-27-20Description: ELSD KIT",1
3107-89 ANTENNA,"Part Number: 3107-89Description: ANTENNA MARKER",1
FE205-000 RUDDER DAMPE,"Part Number: FE205-000Description: RUDDER DAMPER ASSEMBLY",1
"02-1036-0111 JACK, MAIN WING","Part Number: 02-1036-0111Description: JACK: TRIPOD,HYD,10TON, 39X39X44IN,260LB",1
A425400470-090 DOOR,"Part Number: A425400470-090Description: DOOR, MIRROR",1
341F010000 THERMOSTAT,"Part Number: 341F010000Description: THERMOSTAT SOLENOID",1
ARG7041-1 NUT,"Part Number: ARG7041-1Description: NUT, SIDE BRACE MLG",1
9005000-11203 T3CAS,"Part Number: 9005000-11203Description: T3CAS COMPUTER",1
S2521956800000 COVER ASSY,"Part Number: S2521956800000Description: COVER ASSY",1
14-6831-6010 PRESSURE GAUGE,"Part Number: 14-6831-6010Description: KIT, STRUT NITROGEN, GAUGING CHARGING",1
410870-5 CYLINDER ASSY,"Part Number: 410870-5Description: NITROGEN CYLINDER ASSY - DAM",1
161W1501-7 RACE ASSY,"Part Number: 161W1501-7Description: RACE ASSY",1
046-55-999-0131 HEADSET,"Part Number: 046-55-999-0131Description: HME46-K, PASSIVE HEADSET, OPEN, JACK CONNECTORS",1
930-2000-010 XMTR RCVR-WEATHER RADAR,"Part Number: 930-2000-010Description: TRANSCEIVER-WEATHER RADAR (RDR-4000)",1
HG1075AE03 IRU,"Part Number: HG1075AE03Description: IRU, INERTIAL REFERENCE UNIT",1
R815505-6 PROP BLADE,"Part Number: R815505-6Description: BLADE - PROPELLER",1
155006-06-16 HOSE,"Part Number: 155006-06-16Description: HOSE ASSY",1
756A0000-07 CONDENSER ASSY,"Part Number: 756A0000-07Description: CONDENSER-AIR CONDITIONING",1
C20225510 CARBON BRAKE,"Part Number: C20225510Description: BRAKE ASSY-MLG",1
D2907024700400 MANIFOLD ASSY,"Part Number: D2907024700400Description: MANIFOLD ASSY",1
1803B0000-04 CONTROLLER – AIR CON,"Part Number: 1803B0000-04Description: AIR CONDITIONING CONTROLLER",1
65-90305-67 FILTER,"Part Number: 65-90305-67Description: FILTER KIT",1
320548-2 VALVE SOLENOID,"Part Number: 320548-2Description: VALVE, TEMP SOLENOID",1
0871BN3-5 ICE DETECTOR,"Part Number: 0871BN3-5Description: ICE DETECTOR",1
C20534100 BRAKE ASSY,"Part Number: C20534100Description: BRAKE ASSY-CARBON",1
BACB28AP09P049 BUSHING,"Part Number: BACB28AP09P049Description: BUSHING",1
1816B0000-02 PLENUM,"Part Number: 1816B0000-02Description: CHAMBER-AIR PLENUM",1
